Looking up target...
Reading module ...
 TT x86-64 : x86_64-unknown-unknown 
Deserializing functions...
set_ref_reloc_type: Adding  ref: MEM, to: 4118d0, ro: 0, rt: CODE
set_ref_reloc_type: Adding  ref: IMM, to: 413052, ro: 1, rt: DATA
set_ref_reloc_type: Adding  ref: IMM, to: 413050, ro: 1, rt: DATA
set_ref_reloc_type: Adding  ref: IMM, to: 413051, ro: 1, rt: DATA
set_ref_reloc_type: Adding  ref: IMM, to: 41304f, ro: 1, rt: DATA
set_ref_reloc_type: Adding  ref: MEM, to: 4118d0, ro: 0, rt: CODE
set_ref_reloc_type: Adding  ref: IMM, to: 41303e, ro: 1, rt: DATA
set_ref_reloc_type: Adding  ref: MEM, to: 4118d0, ro: 0, rt: CODE
set_ref_reloc_type: Adding  ref: MEM, to: 4118d0, ro: 0, rt: CODE
set_ref_reloc_type: Adding  ref: IMM, to: 413052, ro: 1, rt: DATA
set_ref_reloc_type: Adding  ref: IMM, to: 413050, ro: 1, rt: DATA
set_ref_reloc_type: Adding  ref: IMM, to: 413051, ro: 1, rt: DATA
set_ref_reloc_type: Adding  ref: IMM, to: 41304f, ro: 1, rt: DATA
set_ref_reloc_type: Adding  ref: MEM, to: 4118d0, ro: 0, rt: CODE
Deserializing functions...
Deserializing functions...
set_ref_reloc_type: Adding  ref: MEM, to: 4014e0, ro: 0, rt: CODE
set_ref_reloc_type: Adding  ref: IMM, to: 41401d, ro: 1, rt: DATA
set_ref_reloc_type: Adding  ref: IMM, to: 41296b, ro: 1, rt: DATA
set_ref_reloc_type: Adding  ref: MEM, to: 4118d0, ro: 0, rt: CODE
set_ref_reloc_type: Adding  ref: IMM, to: 412fe8, ro: 1, rt: DATA
set_ref_reloc_type: Adding  ref: MEM, to: 4118d0, ro: 0, rt: CODE
set_ref_reloc_type: Adding  ref: IMM, to: 414d5a, ro: 1, rt: DATA
set_ref_reloc_type: Adding  ref: MEM, to: 4118d0, ro: 0, rt: CODE
set_ref_reloc_type: Adding  ref: IMM, to: 412fe8, ro: 1, rt: DATA
set_ref_reloc_type: Adding  ref: MEM, to: 4118d0, ro: 0, rt: CODE
set_ref_reloc_type: Adding  ref: IMM, to: 412daf, ro: 1, rt: DATA
set_ref_reloc_type: Adding  ref: MEM, to: 4118d0, ro: 0, rt: CODE
set_ref_reloc_type: Adding  ref: IMM, to: 41418b, ro: 1, rt: DATA
set_ref_reloc_type: Adding  ref: MEM, to: 4118d0, ro: 0, rt: CODE
set_ref_reloc_type: Adding  ref: MEM, to: 4118d0, ro: 0, rt: CODE
set_ref_reloc_type: Adding  ref: IMM, to: 414b96, ro: 1, rt: DATA
set_ref_reloc_type: Adding  ref: IMM, to: 414804, ro: 1, rt: DATA
